路線名	路線別名	路線管理者	路線備考	料金所	料金所備考	路線番号	料金所番号
道央自動車道				大沼公園本線		05	020
道央自動車道				森		05	019
道央自動車道				落部		05	018
道央自動車道				八雲		05	017
道央自動車道				国縫		05	016
道央自動車道				長万部		05	015
道央自動車道				黒松内ＪＣＴ		05	214
道央自動車道				豊浦		05	014
道央自動車道				虻田洞爺湖		05	213
道央自動車道				伊達		05	012
道央自動車道				室蘭		05	011
道央自動車道				登別室蘭		05	010
道央自動車道				登別東		05	009
道央自動車道				白老		05	008
道央自動車道				苫小牧西		05	007
道央自動車道				苫小牧中央		05	023
道央自動車道				苫小牧東		05	006
道央自動車道				新千歳空港		05	021
道央自動車道				千歳		05	005
道央自動車道				恵庭		05	004
道央自動車道				輪厚スマート		05	022
道央自動車道				北広島		05	003
道央自動車道				札幌南		05	002
道央自動車道				札幌南（下り）		05	184
道央自動車道				札幌南本線（上り）		05	002
道央自動車道				札幌南本線（下り）		05	001
道央自動車道				大谷地		05	181
道央自動車道				北郷		05	180
道央自動車道				札幌本線（上り）		05	100
道央自動車道				札幌本線（下り）		05	101
道央自動車道				札幌		05	101
道央自動車道				札幌		05	901
道央自動車道				江別西		05	102
道央自動車道				江別西		05	902
道央自動車道				江別東		05	103
道央自動車道				江別東		05	903
道央自動車道				岩見沢		05	104
道央自動車道				岩見沢		05	904
道央自動車道				三笠		05	105
道央自動車道				三笠		05	905
道央自動車道				美唄		05	106
道央自動車道				美唄		05	906
道央自動車道				奈井江砂川		05	107
道央自動車道				奈井江砂川		05	907
道央自動車道				滝川		05	108
道央自動車道				滝川		05	908
道央自動車道				砂川ＳＡスマート		05	115
道央自動車道				砂川ＳＡスマート		05	915
道央自動車道				深川		05	109
道央自動車道				深川		05	909
道央自動車道				旭川鷹栖		05	110
道央自動車道				旭川鷹栖		05	910
道央自動車道				旭川北		05	111
道央自動車道				旭川北		05	911
道央自動車道				和寒		05	112
道央自動車道				和寒		05	912
道央自動車道				士別剣淵本線		05	114
道央自動車道				士別剣淵本線		05	914
道央自動車道				比布ＪＣＴ		05	120
道央自動車道				比布ＪＣＴ		05	920
道央自動車道				苫小牧東本線		05	186
道央自動車道				深川西本線		05	185
道央自動車道				深川西本線		05	985
道東自動車道				千歳東		05	151
道東自動車道				追分町		05	152
道東自動車道				夕張		05	153
道東自動車道				むかわ穂別		05	154
道東自動車道				占冠		05	155
道東自動車道				トマム		05	356
道東自動車道				十勝清水		05	357
道東自動車道				芽室		05	358
道東自動車道				帯広ＪＣＴ		05	396
道東自動車道				音更帯広		05	359
道東自動車道				池田	音更帯広・占冠方向	05	360
道東自動車道				池田	本別・足寄方向	16	262
道東自動車道				本別・足寄		05	361
後志自動車				余市		05	129
後志自動車				余市	休日割引または深夜割引適用時	05	529
後志自動車				小樽塩谷		05	128
札樽自動車道				小樽		05	131
札樽自動車道				朝里		05	932
札樽自動車道				朝里	通勤割引適用時	05	832
札樽自動車道				朝里	深夜割引適用時	05	532
札樽自動車道				朝里		05	132
札樽自動車道				朝里本線		05	132
札樽自動車道				銭函		05	133
札樽自動車道				銭函		05	233
札樽自動車道				銭函		05	333
札樽自動車道				手稲		05	134
札樽自動車道				札幌西		05	135
札樽自動車道				札幌西本線		05	136
札樽自動車道				札幌西本線		05	936
札樽自動車道				新川		05	137
札樽自動車道				札幌北第二		05	138
札樽自動車道				札幌北第一		05	139
札樽自動車道				伏古		05	140
札樽自動車道				雁来		05	141
三陸自動車道				仙台港北		07	034
三陸自動車道				多賀城		04	596
三陸自動車道				利府塩釜		07	036
三陸自動車道     	仙台松島道路	宮城県道路公社		利府中		07	037
三陸自動車道     	仙台松島道路	宮城県道路公社		松島海岸		07	038
三陸自動車道     	仙台松島道路	宮城県道路公社		松島大郷第一・第二		07	140
三陸自動車道     	仙台松島道路	宮城県道路公社		松島北		07	041
三陸自動車道     	仙台松島道路	宮城県道路公社		鳴瀬奥松島本線		07	035
仙台北部道路				利府しらかし台		07	078
仙台北部道路				富谷		07	892
仙台東部道路				亘理		07	028
仙台東部道路				岩沼		07	029
仙台東部道路				仙台空港		07	030
仙台東部道路				名取中央スマート		04	132
仙台東部道路				名取		07	031
仙台東部道路				仙台東		07	032
仙台東部道路				仙台港		07	033
仙台南部道路				山田		07	082
仙台南部道路				長町		07	081
仙台南部道路				今泉		07	080
東北自動車道				浦和本線（上り）		07	900
東北自動車道				浦和本線（下り）		07	901
東北自動車道				浦和		07	902
東北自動車道				浦和（均一入口）		11	500
東北自動車道				浦和（均一出口）		11	700
東北自動車道				岩槻		07	903
東北自動車道				蓮田スマート		07	898
東北自動車道				久喜		07	904
東北自動車道				加須		07	905
東北自動車道				羽生		07	954
東北自動車道				館林		07	906
東北自動車道				佐野藤岡		07	907
東北自動車道				佐野ＳＡスマート		07	894
東北自動車道				栃木		07	908
東北自動車道				鹿沼		07	909
東北自動車道				宇都宮		07	910
東北自動車道				上河内スマート		07	478
東北自動車道				矢板		07	911
東北自動車道				矢板北スマート		07	882
